attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
54,34,1136961,349586,121524,144628,36938,79878,9462,3148
56,56,181388,6096,15015,8482,6236,3819,601,254
61,69,2619551,400580,259835,205175,226424,118759,17976,25254
63,91,114694,7281,4632,13317,4445,3190,1038,716
41,100,665945,89837,41546,70352,26423,15468,4053,2908
57,93,1061949,253869,48039,100570,78588,104742,11367,4602
57,93,664294,35361,11184,8337,2735,2660,1160,417
51,90,94507,149800,67663,45556,18446,28759,5377,3953
51,80,258160,17188,13536,5710,10624,4249,1481,796
50,70,71185,143317,34083,53607,23159,17135,11076,2673
21,74,674041,135576,23433,86005,111310,18597,12531,3035
34,70,690310,125944,19618,64173,17852,32668,13984,3116
11,77,1282341,25333,14382,14310,10139,2140,4929,840
10,77,695913,296875,83321,71503,34847,25270,4342,2420
8,78,1407188,39123,21718,2241,7190,3934,1283,1014
1,66,395590,81683,4935,23176,30519,4865,2522,1531
8,66,120048,13197,12117,4603,5313,4194,1872,1520
1,57,186496,183246,44098,18518,52847,9291,6029,1735
60,74,1260684,945069,328962,521297,566894,528390,41285,16146
56,63,532993,151679,24220,68776,64983,27792,7079,8622
88,60,249449,102784,24277,45401,14116,49481,3621,1864
88,60,2546403,553436,355385,418046,284723,457268,312080,201464
88,60,723639,214920,34704,105009,39888,37511,40307,46800
88,60,1338491,126969,119976,88665,38242,130536,102663,78354
88,60,1184440,93365,13984,20963,97595,13853,6849,2483
80,56,1424030,39324,16155,10086,22964,14179,12185,1932
80,56,2653351,290369,249599,412580,241306,311356,37777,9076
100,54,72744,11623,6154,2854,9598,6726,860,161
100,54,232048,12357,12967,7168,9690,12470,1367,1021
100,54,802551,739700,34648,130320,193588,131222,25532,5092
100,54,1603996,138824,82033,76465,104866,47007,6656,1157
100,54,711404,171196,23217,68112,64281,26030,7640,1866
100,54,1028317,127230,12115,33625,7183,17031,10660,4226
100,54,758793,8644,2464,1374,2911,3872,542,293
100,54,1224523,307335,17116,23676,75028,37248,4439,6291
94,51,1370977,94419,13781,17159,9023,8441,1505,664
78,40,183478,93390,21450,5794,30519,15644,4166,797
87,41,250039,65053,17303,15541,12188,26752,7940,2045
74,50,1182849,54401,24075,21968,9076,14642,7311,1659
88,53,66804,16799,6606,1999,4649,3791,552,822
66,64,449536,612173,242687,61955,63408,36900,27285,6205
66,64,560594,26546,5642,6293,3365,1646,741,859
13,20,60192,63953,4071,2355,5990,1734,714,331
1,4,280074,168823,16685,10008,33066,8145,1769,860
24,1,2234948,195890,19783,62440,82951,50114,26876,3363
41,8,834641,214223,64546,9903,40036,60812,11892,4169
80,24,138869,79648,28474,19705,57045,34922,17446,5127
100,44,1202070,129513,72123,20139,22044,40626,22689,8998
100,51,332686,67069,16930,45501,60217,37097,28804,3210
94,53,1438660,178116,59101,43505,132335,23513,26186,17434
91,69,570811,24691,90175,37668,117892,32401,1415,2279
91,69,732171,71055,78635,33734,29242,45893,2916,1375
91,69,2524913,60845,28549,20874,57620,31078,4347,792
51,53,453686,63070,757,7648,4811,2245,556,2069
38,57,1140852,227915,62267,75544,92378,12932,5421,6510
27,50,660082,78963,30566,24160,32381,15454,4897,3266
30,40,27955,95188,11410,33060,21168,26344,9222,12161
30,40,1388122,69619,32675,21861,5181,10134,7478,4670
30,40,112836,30745,76881,19365,36026,25033,1617,1378
56,64,569048,68173,28938,50364,29277,23707,3755,923
78,69,292831,17545,8464,9858,8800,4217,2334,1160
75,81,152023,5806,3941,3673,1714,1402,303,48
60,100,900400,79361,80287,69693,50522,15246,8499,6323
43,81,1201764,42333,23391,19890,9403,5878,2017,1054
43,81,2277893,1783150,357489,362782,439121,661600,138649,62403
43,81,1274914,176319,160401,135488,133206,82278,60689,18378
50,57,352784,157734,23864,2613,17708,34354,8807,2310
50,43,376067,86863,23716,20544,33415,12606,3022,1220
53,35,463269,61431,61327,34485,67777,13699,3794,358
53,35,1374150,45412,26962,17179,6704,15125,4539,890
53,35,59930,22445,17806,36887,22702,7984,2564,3879
53,35,1618727,79782,18557,16827,22478,29258,5204,11612
53,35,1869443,459841,58882,73523,145226,83704,13463,4854
53,35,1014316,60402,18378,16939,16137,9816,981,935
53,35,1102238,348025,235673,737715,206908,220759,264544,214618
53,35,655871,63800,3160,4258,11048,13919,1684,363
70,56,1703324,134063,51478,130274,58977,138882,21245,11863
54,80,1591599,174784,30268,120236,37976,22679,12202,4378
57,88,1990388,38376,32418,21295,20758,15300,6617,8396
57,88,1342168,366028,123056,104455,94039,66048,40418,8389
57,88,1923591,159565,13398,94560,91719,165772,21381,11530
57,88,1121057,213608,88931,313816,446167,74790,75035,41998
57,88,651889,32802,12913,16975,43767,65771,38186,20844
57,88,634218,115625,8193,16205,56798,19322,8122,4187
