attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
47,70,237023,58786,7070,18357,10852,22923,8425,8500
44,78,643873,66581,16551,13824,12929,15179,15799,4485
44,51,1031868,268330,40775,15484,35397,17906,8908,4626
20,60,137380,26157,7820,15422,12257,8048,6757,13015
4,69,698740,86144,59959,8999,22099,15208,5401,7094
13,70,144371,20535,9267,6754,19333,8037,2884,841
13,70,1305343,27064,3949,3557,2657,1720,471,293
13,70,4794,496,71,30,47,57,10,24
13,70,713012,219594,153255,131312,43769,17078,21014,43538
29,66,403543,115147,14632,5300,6089,23623,5930,6462
13,40,568574,238372,9602,11243,5171,4609,6808,5974
23,51,183921,33737,21072,13608,6089,8404,5130,10073
74,97,186478,11246,9044,7357,10743,7053,5248,5231
74,88,406364,102809,34374,17570,7713,17241,8221,9021
75,100,44050,11760,22145,10023,14177,7290,5934,5974
56,88,117618,55789,10651,5182,4439,5072,4420,5384
51,61,22563,48586,4043,3175,13857,9699,8131,6921
64,63,7076,15396,11564,2038,4679,10623,3925,5027
75,60,18621,15297,16061,16176,11466,19481,5541,6448
80,67,59328,65574,11098,27646,11811,10424,11364,4067
70,83,303094,85673,6892,21639,5403,10117,11932,14764
50,61,368500,306709,18598,24135,17301,16183,8493,11517
47,70,661303,50911,22992,13776,11905,7467,3735,2810
27,48,68934,34040,3668,1762,4816,3311,1091,1122
27,64,219319,75409,19686,13901,12277,5240,4584,1910
50,57,72249,8570,4530,7947,21989,11569,3344,3650
54,67,168391,20355,28420,22155,13568,10073,10706,5114
63,69,102921,35675,2770,4380,4222,7532,6854,6991
70,81,26232,23936,13859,10468,5150,10557,4209,3627
80,67,175419,18043,5109,8602,4401,7752,5951,4293
64,83,408289,104520,52558,8820,10758,11888,7768,3639
50,93,16295,5228,20102,21941,3555,3074,6021,8998
40,88,1051145,55188,24302,21389,13021,10043,3885,1330
23,67,908563,121252,10172,13578,7607,6405,3400,2099
34,61,276449,7148,4217,976,1545,2027,1437,2214
40,40,1764387,42060,18419,5656,5769,8239,760,560
40,50,558218,45976,20934,13293,4814,5457,634,238
40,50,2051873,22654,5596,16144,6185,6651,2730,813
24,61,241512,16969,18073,17952,5423,1970,1227,661
13,54,1652032,428302,57253,50999,16327,27928,4079,2220
23,61,37696,6103,5286,2389,2858,1912,1506,848
26,66,32941,7523,8970,3866,3710,1882,2454,1122
37,56,193317,8657,2791,6701,4315,1740,970,230
37,56,343621,750,526,165,1505,838,82,40
44,50,1709146,358829,35875,60458,70198,41116,8690,3445
44,50,1668328,40982,11198,14975,9322,7720,1121,610
44,50,1499348,39620,9531,7937,4362,3010,1155,513
35,40,222584,15904,1819,5035,595,945,404,213
29,30,1380660,95627,21302,20758,22090,9565,5235,1097
24,47,3128458,19441,31475,22642,15187,5921,1128,1670
27,57,21299,10104,5316,2968,2493,2230,2261,1334
27,57,678970,56831,4388,22167,3661,4387,8009,6325
27,57,808434,43273,21176,20067,31053,11398,4406,934
27,57,539719,122298,17597,21969,23407,18568,21530,10576
27,57,933418,69893,20177,10228,5108,19323,1786,1135
47,51,642838,20029,2962,4975,14511,5836,1718,2002
47,51,535139,63372,4245,3332,3607,3555,333,196
47,60,62850,14986,8346,8336,6301,2153,334,194
48,63,77437,22378,8951,8582,3615,10715,1287,263
61,67,2609560,425992,171477,156015,50007,11897,6423,4524
43,66,604012,47859,17730,17955,5885,4438,2983,596
74,69,1663064,6351,2920,16064,4097,12265,1338,469
66,70,90007,21217,15900,7227,5484,6558,2631,2723
63,57,1157701,41495,22026,10090,37385,12073,12889,1424
67,56,2220691,164745,40047,65688,18181,24732,16692,8128
44,26,318892,132242,16230,16499,22870,11920,8299,1607
37,27,1144200,145158,69311,20000,42524,20222,7953,3097
37,27,11479,14846,14813,8646,7917,5459,1989,978
37,27,1525820,35482,41096,24269,20298,24131,9856,1590
29,20,1191808,382188,20243,81951,65753,22197,11012,3040
35,23,1209774,59454,11199,7731,8711,17456,3849,1117
35,23,83381,42468,116,4011,3986,8858,272,164
41,20,231051,114939,18714,5983,34523,15877,2907,2764
64,23,901283,127509,3500,50079,60195,19022,4529,2281
53,21,215426,102904,19776,1944,8937,10406,2371,2087
51,27,1035417,34428,2293,9424,3681,4558,874,393
43,29,634412,8919,2110,8639,6716,2317,1752,492
43,41,982820,77134,39568,54736,17047,18943,11728,5699
44,54,266718,35964,18218,9403,2011,6117,1894,635
53,57,472363,126630,45136,34878,29024,21962,12650,1810
60,44,165268,30073,4958,7102,7069,7722,4668,1829
43,44,2242524,94914,21009,41865,5059,3135,5015,3170
26,41,103502,19585,4750,2175,3032,1623,1287,477
26,44,653022,19245,9803,10133,6781,3623,2872,1594
20,50,1264686,95479,20257,29517,13941,15363,5709,1834
26,41,718662,68632,15145,10260,4718,3511,4986,911
26,37,569041,172808,15857,23114,38036,13056,3754,2836
26,37,57463,4010,4299,3922,4072,2096,1045,242
26,37,778060,96151,7324,34413,20838,32309,9791,6194
26,37,574831,865935,647555,133455,168715,124574,104518,44068
26,37,0,0,0,0,0,0,0,0
26,37,350949,79271,50899,6143,24276,49657,31076,21360
