attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
77,48,162026,18739,8495,9567,13903,9959,15992,6993
84,48,18168,10964,3267,3289,2760,2464,824,798
74,37,1019430,493301,87270,38950,19382,27014,8783,4817
57,24,927001,233398,15965,39985,23024,20413,13383,27645
43,21,972748,33714,12038,1939,8259,4734,2848,706
41,27,1262573,38577,40570,5332,8671,10293,5217,1292
56,47,1196873,185948,137106,34739,16041,19746,13127,11031
41,48,618442,275900,70376,41220,22198,14389,17274,14178
41,37,163242,52825,2514,13535,3567,8883,10657,2012
47,40,24848,19240,1353,11110,4140,5920,8708,5781
74,38,385607,6467,4246,10354,6205,9210,4378,6798
94,48,58656,29711,22699,16220,7552,14090,7131,9546
83,40,379156,171844,18623,4714,8110,11136,10573,9784
57,38,2579744,160661,19509,39519,5817,8065,6837,10362
27,40,1661398,12030,9368,8949,6749,1585,1453,1065
14,40,849237,33240,16314,10492,4646,3769,3100,1036
20,24,1604484,328780,20387,6983,7032,17377,16246,10573
40,13,1967482,62421,16515,14013,13226,19709,15355,7066
44,29,317616,137639,106516,18979,14781,28636,11772,7912
41,26,783360,221059,94108,14616,17713,16379,4694,1415
56,41,28400,61890,18354,10902,15702,15078,3191,970
56,41,12381,19140,4336,4156,2365,6033,2536,1790
75,48,12242,9990,27815,13377,6175,16152,7779,2136
77,43,1183071,59660,14687,4973,4480,4437,1731,1063
84,53,26072,4837,4914,7385,4754,4821,2657,1631
87,47,9628,18883,2973,2274,5531,6043,3408,1201
57,50,70713,68018,51905,26342,32222,10780,2758,1711
64,37,9634,5845,1588,3404,6977,4922,1575,3772
54,43,317667,28974,4811,8284,5421,5465,4570,2838
63,38,794918,43139,15711,8127,12893,4189,7058,6798
57,21,774542,154236,6052,26070,37551,9704,4040,2698
34,27,199694,38096,19235,8741,13554,5069,7970,3394
20,26,74730,157382,22230,29511,19730,10248,8444,3717
41,26,438082,19324,3413,11307,13326,9721,5170,2114
63,34,23908,14698,2589,4953,3706,5446,5870,3659
63,37,321800,39353,22886,12843,12293,5522,6269,3012
87,40,29957,17217,6861,7728,9605,8458,12549,2741
64,57,572251,51974,82077,54477,12737,10580,10169,3472
66,57,43024,11656,502,6744,5336,5566,5730,3244
91,64,7246,3265,2945,10107,3507,5266,6077,4459
100,54,8019,5033,1800,9788,1706,8867,4787,2475
100,61,17767,5555,6586,2591,3336,7270,6001,2355
100,63,16045,7885,6209,4672,4812,4805,5024,1935
100,54,299375,53556,24961,12693,8052,17460,6972,5414
70,47,170440,51402,1101,16148,6420,24237,15785,8826
56,34,881717,139123,13383,16254,22661,13564,9959,7215
43,11,215883,110799,2710,6871,16337,9021,2893,1886
43,1,1893970,554461,90333,28167,39505,28324,19573,10995
23,1,611746,107003,17656,13028,7489,10574,3548,2013
23,11,406624,75761,19280,21776,11367,10266,3928,1270
27,34,589176,44939,28868,15115,30309,8397,3798,1499
40,50,45794,18258,30093,15262,20541,6576,1924,2914
24,56,315343,218013,90202,10065,16669,4487,4287,1710
37,57,146561,62982,32802,12431,9842,19925,3407,2014
30,47,495243,440631,40566,49077,21396,29382,7508,2966
30,47,767779,19283,731,1806,2605,401,140,272
30,47,1175768,101452,94658,166759,207271,189514,27085,8267
41,23,194302,62821,7047,3986,11785,13438,6405,3604
75,11,1924364,1548229,81298,222909,325883,484488,95217,31666
75,11,2492181,112249,72324,49505,23974,13380,4052,2278
75,11,1052204,112055,62445,51124,85951,42449,6823,3083
69,3,1019669,591993,159109,20100,71328,76226,65238,16744
69,3,328142,79164,18007,4003,22371,5148,3888,1006
69,3,668419,67968,10463,19267,26541,21571,5175,6534
75,13,207311,14380,1381,5063,3665,6111,1178,675
57,27,931462,89195,30445,40111,22218,10048,3216,6343
57,26,577701,324984,21094,45915,31178,40480,13592,1579
77,34,878988,58392,6597,12822,13511,14215,3513,937
74,27,2043201,215652,82071,42851,110930,15813,7427,4152
64,30,233351,7897,247,1776,508,511,376,83
48,34,647799,63091,32783,17423,16973,10484,6573,5975
50,29,196432,74238,12916,12318,39400,18632,4623,1326
51,20,1649103,323849,48687,6684,32605,21264,11606,7208
43,14,892964,104984,5679,10479,4382,3064,2458,825
34,3,195942,178384,16642,14257,6055,7890,6673,2488
26,4,204821,111656,20574,6528,18973,16505,7363,1307
27,8
