attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
38,29,2325530,110375,48747,128061,241374,200341,21006,12346
48,40,2070349,535395,289439,152180,412761,182608,98748,14540
48,40,993545,31686,13062,11185,9200,2885,779,993
48,40,960595,212432,16136,49943,33494,62100,12029,5034
51,51,751454,181508,16635,44071,16593,20349,10843,14235
43,70,90178,11995,10142,1558,315,650,938,317
38,100,706576,72234,67108,7008,5338,4053,7551,2222
23,75,502786,484523,29095,26372,73361,20170,37178,7212
21,66,1329800,885156,58588,94777,20856,64401,67585,13065
29,44,1994272,457741,83315,69960,75923,50708,35888,37450
38,24,58260,30353,2137,7750,2388,2876,2832,930
47,56,1483138,384672,149143,40923,60157,27093,22989,26626
44,60,1170373,101528,4733,42800,31621,10299,4897,2898
43,53,676762,33601,3707,3452,3772,2464,1664,1226
43,53,262077,478907,374305,183788,53044,50491,16534,14257
43,53,533016,405606,77699,114735,52699,84088,34065,19181
30,50,187533,50511,5090,9396,3753,1917,550,38
30,50,148889,17376,10295,7804,9257,6706,2009,1455
30,50,2125818,47129,6031,7421,2904,3527,331,459
30,50,1004653,27673,4619,2093,3404,1753,1287,173
27,30,1214721,107040,8689,7330,13560,5001,1979,695
16,8,76007,32504,1322,448,985,530,254,690
10,10,875252,136306,9387,13042,11243,4116,1287,420
10,10,1395258,32119,12802,30451,39665,26960,5470,1181
29,21,163727,76511,47294,81858,119048,59825,8046,2760
44,44,273646,29323,8101,20120,17338,12458,4534,864
61,83,628019,50950,32007,29639,30442,11578,2197,787
70,100,1115216,62839,15039,21866,15691,9495,3285,2849
70,100,3219849,192221,14908,142423,875621,225286,36305,15259
70,100,1195053,329438,65818,122920,42463,55957,12054,3266
70,100,501225,38816,2825,13854,8118,7127,3005,1184
70,100,1459657,17349,9925,5291,7584,4043,1967,802
70,100,1108097,8070,342,4752,2703,3108,929,446
66,100,1813607,216612,212635,110396,173114,101360,7900,5538
66,100,170171,187902,112425,81771,44029,44918,11580,7388
66,100,1904425,189072,63347,80608,74998,83283,84313,54522
67,93,940004,105308,10953,22408,16236,33658,5509,3948
51,97,132062,115338,107508,32407,17696,3435,7894,3679
48,84,787367,738148,111478,73053,237615,62479,18786,49582
40,80,175328,54433,15844,21969,21539,7101,3513,7196
40,84,1632319,40839,6438,21005,17859,15776,3762,1723
51,64,1500527,92299,14925,8428,11999,5965,4661,2147
41,47,255857,417544,5029,3959,18553,10360,5961,12476
35,37,2525998,190216,21245,10570,15235,7650,4048,5130
30,48,1226246,61552,70054,10909,15943,19940,12499,2598
35,66,638789,394072,10947,12969,11948,12388,4870,5013
48,78,1722780,43985,26057,1443,8113,11424,6569,2188
43,54,1299316,28529,2668,1072,2330,2396,2368,1055
37,61,872703,108156,53146,1588,4375,4319,4752,2331
30,70,304265,199387,21311,8316,5753,3920,5106,2160
29,77,1935137,18622,10537,9176,5867,4490,2828,756
23,94,2418995,306911,107695,96521,29177,18022,22910,12863
34,87,905797,203479,34646,21416,33106,27506,5144,2933
50,93,939584,18206,3950,2313,1087,3045,2189,2416
43,97,503705,56494,15600,416060,74978,26186,10735,5238
56,81,162657,41463,3468,9503,9222,8519,5385,464
50,94,938962,15632,20497,13297,3974,2268,1565,1115
41,77,1882241,149189,4511,9318,18821,7652,7608,1652
34,54,1810073,949705,74057,123690,33046,24165,17026,19932
16,61,1807195,246643,81521,44168,18604,7955,15203,4255
16,61,924334,28939,26324,20650,6157,6770,3635,3341
27,56,1297830,28804,40034,62445,58890,26737,8257,1298
27,56,227598,6563,2387,1732,540,1133,434,144
29,69,1206862,59657,20116,9565,10180,4862,2586,1785
41,75,124266,15277,5978,2162,4300,1857,387,382
41,75,1229905,9202,954,4197,2658,7347,736,711
63,69,176115,63316,4798,21263,15016,24364,1158,1182
63,53,1170153,198996,3145,30110,46805,44510,4795,1680
74,53,1556334,231022,121111,48498,149930,76168,10735,6679
74,60,832978,90256,121308,49955,81969,22908,8134,7606
60,56,3078263,80997,10341,12225,33363,23241,8424,2276
66,63,676618,266263,21983,87769,75900,131234,8422,1920
66,63,367437,7953,1275,1392,1901,1593,1029,196
61,64,864301,476799,270061,25927,117681,76979,17258,23177
61,64,1730995,465398,253255,298804,108477,276425,143866,133581
61,64,278,530,581,588,532,596,551,492
61,64,234156,238869,141335,106753,68216,21627,8721,5220
61,64,2150902,500527,581888,196727,120559,189071,113355,67556
61,64,539505,268606,175869,175033,70846,42265,35427,18140
51,41,1968692,572158,67429,30249,8300,23719,5037,3697
64,60,140326,260553,137644,165074,53164,75351,14408,10026
64,60,2335144,315840,104438,93790,158169,250929,24586,16425
64,60,111539,5800,2662,2703,1571,2272,663,312
64,60,1279263,125886,53812,62793,17881,23795,7545,3400
64,60,562769,148885,152327,17246,43484,80789,24368,12715
64,60,1,0,0,0,0,0,0,0
64,60,708966,23776,7447,23317,9794,4396,1703,852
64,60,588895,86705,14492,33488,20541,22877,2583,418
64,61,2300497,18235,27402,17909,5841,20680,3748,1945
64,61,1153556,12670,34681,25090,50857,23587,12629,2337
64,61,282106,24873,40911,3945,19310,13763,4328,489
64,61,553942,22030,6140,2945,8352,6850,995,273
50,56,726204,192304,33244,39320,21002,8373,3742,1949
57,88,2330842,146183,312773,33761,38952,32271,13122,5740
57,88,1567264,88664,5362,13079,9470,12894,2450,1064
57,88,1189379,51995,19250,12527,8425,4210,3379,482
57,88,638400,37867,26312,28065,31276,68150,80361,78888
57,88,1227521,19974,9760,8036,9531,14794,2389,751
56,69,749554,62422,9643,12018,8819,10464,4441,3177
64,75,697675,174427,48019,147600,44009,157132,18558,6005
80,74,1112770,170530,36493,34743,21402,24915,16024,2771
96,51,732633,59815,20620,21498,47513,25738,7687,2396
100,64,678209,4883,4582,2459,2316,2702,631,380
100,64,1082982,24172,21526,13960,40231,60117,24958,9992
100,64,1336,704,259,171,83,55,21,14
100,64,1171864,43421,23833,26487,37878,17235,2380,789
100,64,741767,10497,10369,7241,2941,14954,2488,1115
90,53,762619,181942,21469,37010,62324,40945,7757,1429
90,53,116579,66974,9057,6075,8232,3995,5248,7081
90,53,856140,174111,38377,47455,57376,102186,67867,41970
90,53,428421,191410,72291,40220,22286,75483,39122,21995
90,53,591009,733038,266431,161377,273900,185431,35757,20200
90,53,1352460,255659,161633,211375,207851,205751,132034,85409
90,53,155808,33782,11142,8917,5632,3676,4619,1666
100,57,826524,39544,19329,34523,18860,54460,7167,1334
70,43,713555,125876,14795,25866,6224,6374,3488,2738
70,43,762287,20330,39676,22453,55016,78476,20244,8085
70,43,751366,57618,16824,10571,3221,1695,680,424
70,43,764043,231797,32833,5757,18054,53350,46699,27788
70,43,1230229,948338,66655,56157,54147,42649,13409,4433
70,43,327006,138663,162603,139679,121200,137672,106464,107721
70,43,2082572,184556,274917,155798,176361,96135,32160,12757
70,43,486006,40691,15502,12562,28960,28735,63246,35368
70,43,465192,13384,2089,5067,5540,4718,604,378
70,43,555163,22532,6531,1910,430,2381,1534,1151
70,43,293065,40795,3138,8299,9714,12113,1600,442
70,43,789328,32589,1799,1134,2717,5629,10019,15304
70,43,130741,138987,24329,61995,51781,7211,8605,8270
70,43,776887,28651,4437,3198,12590,14783,10281,8374
54,44,551649,184826,9306,14151,11123,9161,14460,1042
43,35,1222405,107321,21848,9826,3815,28866,1432,1123
20,17,729624,458375,19843,20704,10091,12180,4379,5144
20,17,987779,23050,3606,5885,4063,2430,620,338
20,17,93345,22933,799,6032,12272,6952,2096,736
11,13,1858431,155648,13372,18932,10728,3027,3260,3206
1,1,993838,288547,8713,11638,8491,4066,3796,3791
1,1,441712,46544,34646,39917,30096,22951,4609,5635
1,1,933503,154270,22471,36618,67250,44776,32079,14038
1,1,825318,593651,64950,86123,131714,88470,56792,33695
1,1,237174,65543,30492,22803,22596,7770,1863,3590
1,1,1368551,371183,234003,153943,365677,258356,46464,9132
1,10,490513,341168,221624,10018,45682,29784,18964,5563
10,47,245990,34809,55437,7947,12920,15538,2097,2068
10,47,1058438,102092,13142,17976,15695,23344,20276,17793
10,47,653209,204118,32371,82405,108688,77373,23148,7586
24,51,152241,97389,9897,19686,9719,7668,3300,1630
24,51,951573,43248,12262,11589,16644,20643,5029,3296
24,51,918996,262729,30868,53334,24076,52187,34496,7773
38,77,630038,20486,6788,4258,3834,1419,361,208
29,60,794725,248083,20036,31199,14670,7352,2263,988
29,60,599413,94348,9277,10467,3658,8437,1808,1081
29,60,1427480,169110,1021,5126,25026,7615,1733,2065
29,60,1920627,170330,9462,5597,13918,4796,1644,3795
29,60,2828305,73013,22411,8064,13422,7906,1893,690
29,60,287,147,82,70,32,19,10,2
