attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
35,29,254739,72334,38170,13864,9877,60363,8384,3208
16,40,308867,134704,34771,45198,15485,14144,4189,3945
21,41,1185171,133311,27036,20905,5464,26193,10904,8958
27,57,285683,53840,12737,10361,12435,6925,4397,6535
1,57,1588736,64945,26045,5311,23029,6419,2226,1330
26,44,196793,27034,1617,13153,25106,16212,20442,6585
27,51,216250,80262,14931,35324,25987,19952,7976,2162
27,70,67295,42316,35919,26337,3896,8721,11241,2166
48,83,14411,21409,36807,14680,23047,13602,4696,1039
11,100,88508,13612,13064,2798,1247,1038,479,173
20,100,72609,47546,12788,15015,13866,13699,4160,8326
41,96,11700,10223,10622,14046,16869,7520,4540,2054
54,80,502566,35509,7942,13592,14354,18550,6470,2542
81,53,2347,31389,859,7099,4916,7734,3354,1580
51,30,17197,17991,11586,13934,11026,6414,2615,1645
30,47,418463,35766,12386,16999,4569,7081,6130,4387
26,53,1081359,215486,74357,12049,47211,46470,21348,13750
63,77,650596,56509,25238,18068,23721,37678,37350,11387
41,67,1263182,419664,131946,70319,28231,18973,17688,4782
60,77,371292,17429,81619,37730,9202,46348,21334,8385
37,87,696490,234104,109834,99197,62258,9118,9557,2341
56,75,20376,27493,9020,5065,7191,6483,1687,2792
50,53,686271,27609,9999,8228,17300,8708,5228,2526
67,29,564722,364355,43898,11322,12497,33502,22182,8550
64,35,356930,67206,19032,19145,8040,16695,20808,12997
63,44,38046,49008,20625,34746,21515,13951,20051,5059
61,61,946671,40172,72949,12536,18116,22062,13387,3954
69,93,5894,8301,12355,6058,11293,10989,5523,1146
41,70,181514,85869,40104,12934,28716,7303,3723,1878
30,43,514264,159883,3206,19267,20140,6930,5483,1773
26,27,8597,14482,3983,2188,8189,6094,1800,1138
40,20,95205,54596,5137,9466,8831,8914,8797,1872
57,27,3508,7816,4223,7780,3835,4091,3362,2030
80,41,5286,2981,2821,8566,34232,3108,4920,1049
83,53,9494,3779,3241,4933,7705,4032,3130,2121
91,56,4462,10558,3347,5558,17406,4204,4473,1176
91,60,8372,8986,6009,10473,6856,5462,1789,1409
66,61,329380,115093,36023,10346,5606,5080,2515,1427
35,61,308795,138384,54543,40346,39772,6675,2669,2403
37,61,11547,13450,5723,4337,14433,6061,1927,1895
13,70,8780,15777,12147,38401,6051,2491,2350,1249
30,69,21004,24625,694,13640,3061,5493,2325,974
34,74,9587,3708,12286,6736,2618,4367,6039,1353
67,50,25926,20107,7066,14737,18775,21781,3944,2258
63,34,1667022,226090,11566,19697,24210,25638,6569,6821
60,69,139603,92337,187789,110502,29839,11552,4403,3793
54,56,1185770,52723,44371,13504,17560,14507,8820,5299
23,41,1005536,355525,19803,21656,41565,15907,10370,2233
3,43,2834076,770076,65545,39369,19289,17016,5440,4578
17,8,195704,182021,23257,8524,13440,20984,2791,3161
14,1,510938,40674,4991,20563,27066,7207,4906,5166
13,1,79024,240955,10074,12581,7045,10449,10522,1450
35,17,1585634,33232,34054,32727,65032,11387,17034,5767
37,35,372829,117695,71548,19569,26812,22262,12408,2696
24,40,409092,60996,21826,23903,21360,4319,2772,926
44,60,55741,55668,19604,19440,24902,17899,15395,3277
35,43,1024188,411560,40713,47438,21886,28601,13861,5911
35,37,652569,67657,12416,16272,18803,8855,5241,4728
48,35,981079,79324,51872,5372,14959,17280,15625,16449
24,44,226648,159341,81122,83499,34974,9056,7667,5824
27,51,118611,134491,28034,20806,20220,12503,5385,3639
20,41,558383,232544,32889,8628,22267,15312,7613,4456
16,38,20585,43679,12968,9602,6175,6888,5251,3343
40,27,151906,51469,20294,12177,24704,14921,5837,4217
51,21,230026,134321,4821,23437,11477,28522,4970,12253
53,23,294245,96933,9800,7828,10440,7007,9391,3120
43,13,14933,92329,9791,13098,9445,5186,2365,2183
37,17,62461,57459,18949,22401,10304,9999,9581,3009
38,27,581631,30579,11460,6057,9910,9688,4762,2381
47,43,1293769,33926,19653,17777,25649,7979,27421,8321
75,47,62793,18635,7837,5164,14386,14107,20876,5593
88,51,7996,7352,12340,15786,16280,9361,5590,2609
80,35,1261517,138927,7246,8548,9916,17327,9945,5205
87,51,9325,17215,10915,4705,2662,11407,6244,4945
88,60,41997,8329,17594,44332,12884,22254,12490,3214
66,70,867992,482052,78764,39757,19572,13453,9013,7639
57,56,586206,95154,36673,7183,13057,16481,11117,19777
44,51,1658370,58276,20342,11583,30589,11051,5798,4515
50,44,31023,6551,8210,15460,7026,13023,4409,3567
48,38,282336,143243,22202,1320,8002,3469,5601,1091
48,50,43800,76617,44796,37434,12239,17692,9381,7040
47,50,1036378,17518,9443,11071,26677,6983,10319,2368
69,53,20223,32735,16085,12959,10665,7908,3380,1821
48,35,923301,199022,21000,12281,11065,9994,9820,3687
50,21,147536,41422,2656,8459,14710,11206,8190,7882
48,24,704345,23731,5146,5301,4488,3613,3346,2441
47,3,1535143,142876,8759,9987,21860,16277,7959,4707
56,8,215746,206744,54907,8355,15512,26819,9716,3675
26,1,636682,782745,64056,17845,104835,18034,13289,3225
29,1,160808,139431,23428,29347,18371,22741,10451,2350
30,4,294502,57609,3634,9519,1513,8778,5813,2215
37,14,1011410,42133,22809,18238,20066,12299,13684,9765
67,29,546222,24288,1214,12551,14788,9353,7239,3125
78,48,18339,7518,16407,8816,6264,8779,2731,2992
74,64,39858,31737,27118,8784,18067,6525,4239,5007
70,53,98464,96060,16477,11756,13745,17051,15139,8742
60,53,634753,37574,3771,11389,4340,4984,1748,1601
