attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
60,100,1644017,80090,23370,35270,22470,27519,6531,1988
60,100,1753715,290281,11447,25554,27699,22600,25947,20708
60,100,737728,1551394,220438,206525,265851,278550,247248,125502
60,100,623395,613203,209804,100992,204714,206507,53842,31537
60,100,2199954,294032,587704,253694,242091,188645,259467,114547
60,100,419140,106275,42822,71776,73019,65212,10950,23226
60,100,293057,67329,20740,19523,22045,16241,1896,1106
60,100,2285714,150540,29822,64025,52112,22530,11011,8546
77,100,172929,36889,9816,7410,8733,4721,2814,689
56,88,1143784,387027,96928,17549,38085,22079,7411,5585
60,48,1480730,176122,39540,28260,46512,16413,6755,5316
54,44,962494,102106,16533,15063,5284,8971,8954,896
54,44,1817977,30752,23777,4712,18524,8911,4511,1219
54,44,1166241,353042,137635,137567,63245,36664,26729,24907
54,44,303027,88290,9374,15323,13940,4478,1630,1001
54,44,536574,69580,11859,28813,6036,11793,4623,337
54,44,669491,4837,1598,1848,2444,841,212,106
54,44,508902,47663,10498,3742,3544,3215,481,103
54,44,1125324,46376,1251,2403,5794,6426,1382,270
54,44,1658317,67142,70239,55875,25206,22862,7032,5295
30,48,216366,8592,4728,1880,1620,1180,800,533
24,54,229622,126188,53507,23251,11315,11746,7293,3817
11,47,1014453,217669,18602,13801,18955,14038,8109,3690
17,56,521167,25584,17031,19786,12772,5968,5075,964
87,66,936267,79208,42970,50775,48578,44978,21119,4739
83,54,245113,270905,18814,32253,29947,21291,6435,1808
100,38,1914452,116971,24503,28524,46538,36019,15925,3476
96,30,849828,200409,31816,18580,76718,50695,16809,2805
96,30,2513287,120974,16425,11489,5123,2794,663,743
54,8,19135,55460,3397,2626,4465,1754,1553,750
61,7,1341583,383663,13321,67821,146428,34099,14928,3729
29,10,2553505,550065,127292,90420,51073,29573,12474,4566
30,13,68175,42138,2446,7887,4548,11262,1930,909
30,24,361573,173505,33912,5808,9122,4916,1523,1342
30,24,1366886,71672,1099,392,6246,6522,1540,196
30,24,891,193,2,3,25,18,16,7
53,35,142576,25624,12197,5743,7339,7995,1622,1675
69,61,669514,96956,7660,29153,8055,24182,4398,2289
77,83,355342,45375,48339,36865,16030,9182,8176,4222
66,67,140538,87582,14251,770,6063,10674,1693,854
83,66,96585,42299,69261,10814,24329,22963,9656,4339
