attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
74,94,409760,172772,14031,120880,29835,38432,6167,9500
57,83,601433,306616,33419,70003,46039,26117,14404,14348
54,51,674266,171707,8814,21556,13259,49667,2808,1702
44,51,399441,13547,31240,8976,27373,15728,10739,5130
35,14,314018,104783,10740,4081,10970,8852,5066,1641
69,16,360890,62443,6155,11628,18868,29627,8090,4676
51,43,681855,73455,20662,18468,28543,11196,2671,636
43,16,879702,124702,11232,28098,33891,31330,13459,11003
78,44,67991,24521,14260,11320,11877,28795,6917,4684
80,41,324420,20260,2845,1952,1399,11946,1697,983
88,43,94220,295357,135266,29412,78063,79124,18747,13921
77,69,2731934,110474,40178,85995,19847,26724,5440,4539
77,69,70425,21612,2010,12754,12994,3825,1217,389
50,70,213227,29271,12413,6582,8327,5957,594,479
50,70,766369,95290,9392,13930,30940,14716,9106,3654
50,70,1300711,18445,9855,11891,3740,4088,3799,462
24,100,25321,5189,1973,3759,1328,1059,326,297
44,100,148515,11464,7978,7803,29876,14573,5407,3484
40,80,304624,95625,13199,31657,29805,11642,14738,5432
38,56,2882626,472422,30528,65415,49185,63347,14003,8805
26,38,687614,424731,150872,21856,63473,14801,13329,2723
23,34,1064232,227413,75102,81585,222330,143404,10756,23175
24,13,121141,79528,3881,4905,9173,3850,5753,2516
30,20,851153,251538,32693,32262,11522,32110,21810,7682
54,30,736709,45061,32535,2154,10680,11402,6179,2945
57,78,106609,85918,22191,65400,7469,38122,6588,3264
53,94,1421210,49806,20401,12094,6566,6336,2707,780
40,100,454210,64705,13133,53236,33463,7171,2490,2871
38,81,124943,127845,14941,6597,8446,13317,9910,1427
26,87,85693,57424,66767,26620,25255,14937,6138,5213
50,77,10806,18646,9204,4530,8986,14053,4236,3290
70,64,15257,18572,11557,12834,22440,11801,5724,5171
66,100,292398,38868,47302,5391,6932,5727,1809,834
61,75,164818,38137,3943,5572,2787,2840,1152,991
54,83,51887,31994,17747,16122,11472,19264,13040,5863
