attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
30,51,1230925,671489,48492,135946,122655,47349,26585,19658
30,51,147,57,19,13,6,5,2,1
13,37,371028,39228,25747,14845,19931,21520,3610,732
13,37,1245397,200885,144916,166571,52312,194535,15480,8668
13,37,916838,123882,5212,17287,40598,27875,3064,1025
13,37,356,731,64,62,16,16,3,4
13,37,837738,86636,36344,31929,37892,28925,6292,10547
13,37,1659766,372482,202662,79506,71680,93891,31179,7424
13,37,15,16,7,3,4,5,2,0
13,37,180380,38940,7000,4581,2988,1089,477,206
13,37,862847,1061100,291308,43250,30716,29431,24887,74563
13,37,1334988,327478,62438,160428,125566,29679,4671,5452
13,37,1440156,91991,45043,8127,7420,11665,7596,991
13,37,866460,55909,12483,9482,6784,3368,922,372
4,60,528966,14304,33850,8492,1704,4070,1525,300
4,60,2246937,306283,20499,27441,44601,18842,5253,3866
4,60,625272,37096,5191,6554,12892,8737,6069,1551
1,44,236327,152079,8828,15805,6741,9195,1021,804
1,44,180692,108164,117341,34360,50383,37334,11066,1986
1,44,621626,286366,95162,117507,87548,59305,23103,16083
1,34,399060,16026,6148,3112,1171,1304,248,94
1,34,511885,44911,6701,17263,8368,10509,2026,636
1,34,2206285,542822,25129,375679,277606,131187,44517,40987
1,34,41097,327295,31896,7523,28005,23234,12603,4459
1,34,883218,24196,19124,11744,13849,11467,1990,1038
10,30,1089562,113556,6604,6947,24991,21105,3938,3029
30,8,1989482,281760,49525,93006,56323,58683,38422,7165
30,8,826074,89001,107246,22119,83090,49857,13910,2544
30,8,1341888,94268,44354,35705,48963,46498,14705,1490
30,8,286354,407651,118615,26574,37103,43172,10936,6250
30,8,24403,17310,7143,5547,2012,1187,960,161
30,8,725597,104659,73751,25372,10470,25074,3111,1989
30,8,897934,501686,34293,2388,7198,13587,7559,6495
30,8,1603440,139988,23974,8227,65238,28425,7077,4077
30,8,1778670,537840,411054,181671,75127,66545,14077,19152
54,14,491659,93288,21346,32823,159587,16857,5903,3908
54,14,694464,72766,16392,22791,47591,29220,5120,1684
54,14,1491755,77875,2977,3664,10635,8594,1483,165
54,14,3080,4733,4486,4027,2784,1489,162,26
54,14,59196,61373,2201,7190,7338,5207,1702,434
54,14,1640766,497725,249200,9871,63189,81189,15911,24672
64,24,951661,58494,23222,48067,14082,9432,1888,698
64,24,2587687,115927,64130,34149,76469,43693,15696,6315
30,37,183456,48439,8466,2353,938,2532,1474,637
1,34,316490,33659,11179,1122,9449,1783,976,1095
13,54,667107,38541,53305,9975,12005,16642,1726,3967
41,27,171142,69433,5885,5616,17592,13347,1895,744
57,35,1164309,88778,66426,34670,90436,39457,4156,2078
57,35,89880,39289,27988,8963,10517,1923,2354,1374
88,35,154205,26572,1335,9493,3854,5400,2767,953
78,23,108638,62798,766,30772,8836,10497,3347,677
41,30,581250,422984,71706,29737,14853,15392,8351,4509
61,29,618772,111235,10334,35277,23179,29068,7565,5430
51,47,732732,59193,55313,18624,8066,11363,4248,3136
40,56,119978,55928,46557,15286,13507,7277,4833,1074
53,61,476109,129024,34560,18985,19771,11131,7074,1165
24,47,591061,246363,8300,19119,52563,12946,9506,12173
24,17,832172,198663,26937,4274,28830,18974,1960,923
23,11,1122468,17424,7387,18216,5799,2475,1006,641
43,34,10518,13318,5649,2817,2473,2717,1867,849
43,44,1295849,258570,75345,31006,44983,29927,4574,3027
70,44,205689,14350,2645,3540,12898,6972,1800,1275
70,44,2134173,76312,24243,19856,27683,16878,3906,1417
70,44,2079,935,268,184,131,66,19,16
70,44,1173654,92182,3932,5967,11329,11039,1425,383
70,44,766421,100357,58771,34110,20917,11435,6207,5476
70,44,2095896,110782,46693,24651,48943,34889,36356,23540
70,44,1116,525,196,159,99,48,23,12
70,44,956919,266693,266632,112505,187609,77817,41967,12146
70,44,414853,15689,4949,3934,4014,683,958,220
87,27,657085,313088,32616,89685,25932,68186,9062,3204
75,41,890109,206259,183982,73805,55799,30302,11654,4774
75,41,622314,58269,20670,10755,32888,9745,5873,672
75,41,2910608,117439,32945,180180,178046,102518,31731,5631
75,41,1466424,42543,4080,8602,1800,2313,703,488
75,41,358,197,97,54,21,5,2,4
40,47,887988,57352,8328,10090,12315,3082,2372,1001
16,51,294714,17983,697,7928,2790
