attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
24,37,178439,127232,106730,12793,10091,17865,13687,9277
35,69,8015,3843,25894,28057,4282,11177,21341,6399
30,57,831860,214489,20496,37851,36133,22072,16065,10564
37,60,1125193,72186,74458,30812,34289,50451,9684,5019
30,56,80932,16914,20435,11401,2427,1805,1550,1527
27,14,563580,324468,58145,17230,13422,44342,32695,17350
24,26,67511,20443,7751,2682,4008,1602,2491,1076
16,50,2268279,65575,14311,5119,5168,10829,4926,2827
23,24,320200,53731,11740,39867,92074,9241,15061,3972
20,41,2071881,34580,20368,12872,21157,4861,5561,793
24,44,311739,25850,17616,3791,14114,4332,3200,2037
17,29,1017732,330178,369489,43566,34860,27151,67920,8225
14,26,79778,64741,16557,4989,11995,4881,4460,838
17,27,697699,170835,98182,33390,12922,32032,28135,16797
20,30,242230,14515,13942,8028,12306,4197,802,127
29,14,573692,60536,2049,35179,35161,15043,5958,1607
29,10,97605,89274,7480,2548,5600,4663,3498,1310
35,13,621143,65266,35434,20675,9280,24974,7601,1194
35,13,1467764,27384,8724,6902,3913,1421,772,460
35,10,38037,23164,7884,5297,16415,4507,3594,663
30,24,295479,61867,27852,24076,6567,11940,7461,2166
38,50,1055313,31770,18171,8855,3902,8090,5224,4564
24,47,195628,14300,6074,2642,3375,801,829,393
17,53,188487,286242,81800,82033,21393,24451,7532,5434
21,41,483906,68668,21305,6110,21191,13577,32301,10404
30,38,47308,4452,4604,1840,4033,5418,4621,923
51,37,41013,6209,1899,4315,1727,6848,2222,1026
57,43,518271,34506,16643,30191,17729,9173,2721,1412
54,47,1143082,49427,11699,13724,9999,7934,2542,663
44,44,1273946,34625,13991,12257,18129,7561,1726,481
43,38,143907,21004,3772,5718,3416,13883,51972,6408
53,29,62376,45377,1684,33120,7037,34455,21282,10034
54,29,255172,83343,25199,21784,31345,18214,7072,1978
56,29,34370,47894,16105,12788,8879,11379,9224,4882
40,44,1628404,57516,30762,28062,8247,5927,2790,1554
34,43,683990,18874,2229,6060,1984,4718,3431,3579
37,50,246520,16103,12878,3205,5074,6242,2048,1698
40,30,1680839,19609,901,1470,11039,5671,698,406
41,14,732400,369686,42634,28967,41962,22629,6368,9810
38,14,75972,8516,2020,1007,817,1413,635,651
35,3,213829,64550,11747,3950,12206,10054,1926,1110
27,27,178457,56493,5543,14622,3309,4620,1816,1073
24,38,911906,96414,38324,52914,39881,15365,4659,5616
23,43,228166,9821,1322,2101,1305,1301,581,428
20,38,567602,37909,1917,6204,2170,1758,2645,2250
21,30,630567,160110,21848,39320,20268,26671,5136,3793
34,17,555846,14991,1179,3379,9935,6436,2877,1764
35,23,2419699,116829,28627,64109,56279,30861,6442,802
50,21,47689,23473,1556,5470,18015,6897,856,1692
51,27,273740,12850,5772,7083,5991,4169,2314,694
44,35,170085,16706,2898,2650,2434,2746,1824,985
