attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
30,61,794477,25579,7993,7903,3784,3381,1224,555
41,69,1961261,310649,57898,96795,131042,145956,22256,8832
41,69,483263,168345,37720,56900,16668,34030,1991,1224
41,69,570053,5212,1619,3504,515,1748,542,226
57,90,26300,17501,1512,11999,7537,12446,2561,2152
30,100,642958,181455,52572,135794,64312,13863,2749,1568
11,96,82987,17687,3893,8006,5583,3621,998,321
20,78,636327,145334,34491,14950,26116,24074,2226,683
35,69,24569,47137,12953,16738,9292,3650,3274,1730
21,74,140359,64951,24593,6054,9928,3056,3126,3412
27,80,18934,46852,23113,9098,6928,11429,4472,1543
21,87,755796,38984,33848,11194,12027,9136,4695,2030
23,96,26531,14130,33746,15220,15367,4053,2523,4428
27,94,334249,278194,62342,43131,19109,21740,9373,5387
17,97,704048,102309,52639,29165,10838,9900,2800,928
20,100,8846,18272,37554,11758,10316,8433,2643,1496
20,90,15735,50805,17473,7843,12046,4970,2486,2085
14,93,8822,70602,20791,16022,10180,3482,7335,3073
29,84,15109,12653,2608,7360,13078,5722,4036,1780
14,77,511832,139674,74173,17028,10029,6983,4570,906
16,74,337688,115535,28635,4844,16016,10808,1076,2787
20,75,6547,46040,28171,11642,28770,4093,3382,1556
10,84,21040,28066,19074,11388,11335,4164,6570,1391
14,78,103079,67072,20327,6383,3698,4362,6038,1913
20,97,435656,6049,46206,21033,14982,8919,3072,2266
13,93,178227,88565,43378,5506,8467,3325,6340,5021
10,90,636810,60023,56684,2279,15677,7038,5949,2345
3,75,538398,221466,33909,21298,27687,6700,3544,5360
13,78,54438,46826,20373,17832,12578,5269,2576,971
8,70,160322,84022,28094,12383,19800,4387,2586,2855
11,57,41170,38681,15509,2655,9355,7517,3047,3842
27,78,21433,14686,13823,3544,2985,3261,1923,2531
24,83,306763,132426,47637,34378,19323,14069,5387,2399
21,78,16682,31261,11255,22670,12918,3749,4554,2549
26,77,17426,32920,28510,12198,11576,12776,4635,1879
27,87,240924,29177,40452,6845,15281,4248,3347,1472
17,81,160877,53769,5783,11332,2130,1683,726,326
14,84,147720,13030,11767,5061,3719,1270,1101,748
11,93,59873,7844,23542,15370,10090,5584,2308,976
17,87,86232,87983,50279,30991,47715,19204,6677,2627
21,94,174457,91960,72786,9943,10192,5994,2880,1692
30,91,13698,34773,29159,12912,16623,8637,4510,2083
27,93,303175,57616,58911,52012,66562,32797,9235,1677
35,90,39017,82488,42700,14625,12738,9578,2019,1776
35,88,152230,60685,25456,24428,6162,12578,8677,2624
26,80,361442,144422,55252,25660,5108,4274,6720,4490
11,70,28639,93982,18282,16968,7717,5377,3397,1484
11,69,79187,49777,16572,6912,1284,5242,5079,1123
10,64,219194,67359,27575,10179,17495,9980,7917,2698
