attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
75,48,92654,9347,3566,3124,5633,4558,916,1303
56,56,163680,58618,17503,5805,7106,3392,2352,3038
74,61,16534,18384,3929,3252,4861,5066,3825,2833
60,57,23420,66222,3052,10596,4987,7490,7225,2137
40,64,37905,27362,6876,13019,2191,4841,10576,1695
40,64,112917,56719,15381,4157,2025,2381,1265,652
30,60,145815,46448,7072,3495,3993,6286,5000,3356
54,64,34258,23221,10864,5423,34612,10736,18513,1402
75,70,25257,3872,7126,18705,9891,11562,9724,7353
75,70,192651,53002,30742,14067,5368,5543,1357,1504
75,70,1285554,45583,9314,8728,3605,1951,621,400
96,70,48752,7049,2183,709,1071,1065,1947,388
94,96,67304,9704,8670,6240,2463,3250,2293,2916
91,100,22883,15712,3832,6444,10129,7657,7410,2884
78,96,24856,8305,6244,4664,1881,3299,2916,1528
84,100,7516,15821,3986,5469,4412,4163,3490,1145
54,100,16692,13879,10690,2245,8731,3658,4416,4504
63,84,15704,6746,4572,3230,1692,8778,5338,3741
93,93,17122,3784,15245,9673,3172,11277,3932,4573
100,91,2323,6944,2228,5961,1511,6404,3140,1970
100,96,9964,6394,3073,2494,1851,3374,5771,1885
100,96,1826861,54359,14615,9413,20665,13957,3511,1682
100,96,403505,65357,36747,33884,34269,49259,3199,2045
100,96,1579819,1622551,1516146,1298184,1079776,315329,88202,94835
100,91,93510,460,301,274,519,426,61,144
75,78,237541,116665,23072,47375,8558,8407,3222,2389
50,74,270385,81869,19478,12696,6343,7177,5256,2231
50,61,11942,23632,2355,5546,3713,9635,5467,4717
41,47,32046,21863,187,4845,6241,5806,4248,4116
60,43,18015,36215,15093,1573,1027,9193,3056,1410
64,50,22952,33965,7108,16755,1785,6062,7477,1915
70,63,27996,3713,3185,6299,7974,6466,4479,2036
75,87,12933,10050,7375,8267,4778,6694,9030,4358
60,70,228938,175516,5108,20937,23306,12038,5833,6186
51,60,168274,183413,20862,26991,11621,13494,9604,7412
16,37,1708395,480933,9350,44295,20041,23255,13992,3870
1,21,1140150,399032,90436,9441,16823,15357,21301,16403
1,27,2104140,333963,40738,28600,15112,6712,2700,1636
1,20,42392,10008,583,792,487,454,414,627
1,37,233642,34896,14595,5358,11724,4900,3155,3604
16,44,241884,74083,22722,14224,15454,10733,12135,7050
47,51,765695,42945,8243,14619,6030,13993,10196,6418
66,74,140819,38014,32596,8389,8875,17174,5220,6656
47,48,1658183,717710,9737,17644,20877,5491,15627,8771
54,38,87100,11953,2256,681,2473,2225,4589,3169
51,54,88948,32094,23032,42601,15259,8658,21027,8721
48,50,366523,33358,13585,4265,6285,6873,19033,3959
83,84,86310,22163,11915,28865,10132,17046,15922,4557
84,93,168341,40779,5720,15104,7124,11650,3676,1516
90,77,18197,16548,1667,6113,5180,3652,7765,2481
100,74,17591,17590,8141,2870,6243,16711,6592,3493
100,61,20077,13774,3652,4929,6466,10745,9731,3115
100,87,8840,17429,24767,13468,10203,15186,16616,2194
83,78,911135,447030,23398,50840,85960,13363,9556,5046
67,88,167956,82039,48938,16722,11359,15808,8426,5646
67,84,29897,27750,34758,18458,11626,19896,5848,3609
57,74,396105,47495,9087,18853,22132,6726,7500,1989
77,88,126818,61386,29857,15338,12946,21843,13390,3753
83,91,117071,5723,7113,475,1663,2730,3149,943
70,84,499978,90365,39007,19086,19122,11193,8067,3343
74,100,30022,7360,22279,16587,15237,5418,1961,1128
69,81,25382,38293,3207,1177,5025,5896,1787,3055
64,75,5647,15598,6484,4925,8037,3318,3488,1875
80,69,3776,14219,8686,3910,10346,10566,3410,1816
81,60,13318,10688,5173,6265,5054,2858,3600,1853
80,84,57706,51772,20696,13855,26762,8907,3514,2415
61,83,341933,73840,15141,9587,8572,4632,1474,448
64,69,502865,120872,37694,15091,20641,24106,14110,1793
74,67,67164,14345,7983,2619,8541,6368,6079,4058
70,64,173110,144129,22548,13233,14351,6820,6995,6073
61,64,891419,108929,25871,49752,20526,11615,5062,1006
61,64,672512,15624,4939,2893,1198,1581,646,162
64,64,365613,50445,16125,9385,18492,14947,4470,7548
57,63,361986,108301,22510,22772,28959,20354,4758,1351
70,78,28508,17082,29138,6673,20145,8932,6482,2526
84,80,9573,7770,5967,6082,4485,5195,3011,3187
78,75,1026887,43719,3537,5432,4384,4631,2938,1944
75,91,10944,9303,27351,16469,1934,4500,2491,671
66,93,7195,18714
