attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
41,80,60665,16976,3817,37820,8973,18572,13240,3333
40,93,42055,34898,24084,14971,13620,12415,23113,7472
47,78,611125,291222,40716,27102,55785,29925,36086,13755
47,84,240778,12263,4949,2750,1787,2743,2046,553
17,53,1231240,152964,6187,2994,4096,8243,3991,4154
3,40,727093,140642,4752,12480,14591,5941,7705,3469
1,34,914025,168120,13063,44931,44007,17820,20281,1003
37,51,26759,23247,3376,11298,11241,22626,8948,3385
38,63,109381,74202,61601,45207,22112,24700,9031,4763
70,64,583044,189488,3612,43305,22416,88947,17139,6635
97,77,25572,11690,26165,12957,21978,23467,11726,3057
81,90,885600,36818,33056,44850,15806,24430,15406,16306
80,80,336977,44792,13051,11117,10350,8782,6286,1588
63,100,757719,22521,26970,24515,10200,9255,5891,2853
67,97,64954,13388,11555,18118,22295,26518,11125,3510
53,83,161736,268437,70830,13093,33976,26067,49055,26729
78,80,107518,18745,12620,11538,28529,42023,16689,10576
83,74,593093,60100,20081,48457,20053,30412,15951,7263
70,64,25126,33517,7097,6394,17643,19786,4642,3579
84,64,65055,57692,4198,21634,12525,22093,7058,2477
70,61,27071,47140,5937,9287,7208,23268,10356,4794
69,56,36225,46831,7316,22084,9445,15628,8395,7991
54,74,517678,76240,55507,110408,97782,28890,4554,15056
40,84,2424640,18442,7189,10196,2846,2577,1154,535
24,90,320676,14337,3548,2596,2468,2375,2462,509
7,93,982162,71202,5582,42126,5902,5838,4248,2134
21,77,100486,105977,13919,30435,47691,60670,16573,2991
21,77,1434410,97898,121091,295082,239324,276271,76370,44829
21,77,670,316,315,163,64,37,71,37
21,57,77684,18367,529,2744,1161,1752,1069,996
37,66,558963,16807,8458,15352,5663,13548,10080,1707
40,57,250162,142105,21728,24862,30615,12086,5738,1429
34,51,336738,137128,2424,29404,129644,37051,43930,22828
34,51,771176,46658,8786,5888,3835,5572,1124,439
35,48,69205,7937,8594,1920,10229,5640,2556,2591
34,83,984145,95660,27386,39629,9535,7083,3457,4058
27,91,81275,108847,4509,42090,17417,11782,12686,5854
29,93,18752,26287,13991,20319,15198,20640,10330,14573
23,63,639306,178592,2515,11063,11519,26677,10673,7485
41,67,74511,25087,47931,7538,14298,15213,11462,8239
70,60,800287,33701,11026,3637,30703,33021,18444,5085
67,51,375001,14004,2844,4420,6196,6585,3539,320
78,69,1053755,32391,16394,12962,37949,21364,3525,1029
80,67,258552,4765,5079,1390,808,2347,797,190
41,75,78653,91173,21476,8537,3414,3620,1925,742
16,84,1115931,49744,13302,27479,7469,3280,1729,1129
7,69,841657,59065,30781,74940,29199,44657,21266,11092
23,80,225004,20682,23712,8461,10938,5653,11611,3566
40,54,123575,30763,643,1748,3394,4949,4014,2154
47,67,1000595,240788,74935,27114,39067,72415,80784,16498
47,67,1495386,16788,9942,31602,7562,4561,5926,696
34,51,1068444,729591,84145,43100,45558,70986,43286,13008
37,29,2021077,235841,5121,26203,12194,46040,50124,5495
35,44,132971,222984,34845,34322,26544,31490,14728,12787
40,44,655950,33958,5005,9974,4277,14112,4512,780
51,61,130533,20943,11257,17467,6578,11595,11799,3302
40,69,657070,60770,10127,6459,8480,4942,6848,1182
43,74,203630,25005,8272,5237,10520,5418,4342,790
24,70,825475,116713,21020,15712,14827,10301,15680,4681
29,63,39961,63023,21074,21783,9676,35655,18189,4665
48,74,13881,27209,17700,31946,34450,22599,20233,4489
43,77,313801,101127,26501,29353,17583,12353,3228,1490
48,70,783029,135430,4334,23609,24880,17154,6084,1453
44,74,115463,70682,25713,26561,11657,33881,23069,5154
41,63,2110563,138777,4048,58368,58482,47829,20605,9702
56,67,743698,40826,20037,41419,40896,25828,11547,8837
54,75,181919,158928,17526,69576,81421,26921,7208,7912
69,77,92271,15200,33017,12585,15503,56896,18870,8815
69,74,105018,176704,16430,31833,9838,50819,23101,31309
63,81,406451,68842,100861,43460,21027,31701,43176,10489
77,97,334606,30286,39570,85552,16888,49687,22449,5296
69,100,3120,7346,14583,34417,27032,27931,10769,7300
53,100,321374,134199,29259,25015,16515,11168,8719,1835
64,83,635013,37843,3384,4911,13851,16900,2946,1150
37,60,670346,65819,4540,8749,2757,2515,1032,204
14,41,3375667,179452,
