attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
47,54,1616341,121901,35225,18306,23936,27907,10459,2648
47,54,1875937,164376,48002,167554,104840,57076,35537,18841
47,54,1190914,524111,128213,86166,108477,44057,7382,6752
47,54,983159,70156,8210,8351,11769,10634,3338,1634
47,54,623848,34682,5763,10440,6116,2575,1167,745
57,53,98202,3523,1763,1110,1594,1398,965,790
67,38,691189,30517,5726,10932,19066,8268,2537,2406
69,40,536504,33593,10337,8373,12664,3046,1794,1031
50,40,80133,52357,19554,42376,12984,6425,6248,2363
26,34,474574,330504,56670,77597,39064,16653,21931,9625
23,69,493934,15832,10083,11135,2720,6072,2131,1359
41,57,51406,50397,18267,4955,23643,16253,8487,6540
54,57,533734,42478,58233,52670,31771,25977,7567,4200
67,77,1674426,532413,217457,46297,111429,71615,44884,18083
67,77,539830,17319,4060,6236,40883,15060,4459,1558
67,77,101698,31163,14791,6177,4499,7534,2776,920
67,77,310649,1499,2098,2620,2319,2929,835,450
66,56,444340,14420,6990,2212,1525,3270,2639,328
47,61,1197038,144852,14653,34688,12661,10029,2816,1025
47,61,1972235,1396350,163164,57996,214528,282392,52639,34835
47,61,95241,7363,1005,942,1575,2514,3044,551
47,61,149334,38539,32459,9206,29210,28060,14380,1177
43,23,33115,2404,470,499,864,405,190,156
38,1,528139,99579,10432,25009,13469,11263,4812,1974
38,1,2092236,119144,12465,4143,12904,12120,1927,718
38,1,704,1275,737,799,628,283,49,53
38,1,464224,27646,11925,7488,7972,9022,2441,729
38,1,224175,267918,36139,58400,27931,12523,6657,13364
38,1,2095449,468858,238918,77226,97597,213513,81586,67415
38,1,259362,22940,29459,5959,8105,9683,5702,4902
38,1,1049410,303077,35032,40337,209346,169333,51078,62630
38,1,902292,134030,66617,108892,96656,61911,14924,47647
43,7,2010196,117687,95208,75882,86315,59467,29095,6394
43,7,1014418,189869,116268,19149,71991,108328,23414,6715
53,38,468111,17913,7680,13068,6555,4403,1164,560
60,53,791231,280879,25659,45590,78391,46640,4916,1560
60,53,1154871,127888,62771,15339,27598,73863,27238,2592
60,53,531163,153097,45421,25178,11902,58849,12796,3404
60,53,645203,61985,28782,22205,17774,7784,6664,3495
60,53,337997,18351,16821,10786,36641,8375,2025,3342
48,26,1071316,255673,215412,116185,77857,76082,32364,15300
48,26,792064,59909,13489,13255,7132,4112,3513,2025
48,26,455855,59964,20944,7917,12826,3889,1128,617
48,26,741837,306739,7195,17293,41306,46325,14320,3254
48,26,1990532,136485,125011,332422,312114,205931,115359,109922
48,26,84683,70221,4343,41367,74460,31260,16873,13739
