attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
43,26,741986,28577,2794,9587,5499,9556,2267,4224
70,47,621501,81349,4108,12280,6187,21078,6569,2366
84,56,769862,20192,8882,5877,2313,7655,1264,623
81,48,151367,126577,13081,5518,8658,22611,8945,5921
80,34,372843,60676,18418,11939,5551,8060,2966,1392
74,54,270958,42862,51176,62783,30665,20408,15898,1761
53,53,302097,58166,20454,6512,1387,2877,4410,1498
51,70,24539,18774,12826,13199,11645,6554,9580,6796
64,74,39669,21901,9452,12885,6934,14038,8641,6379
66,63,332500,30989,9098,19207,24652,9010,10677,3214
80,67,438939,30411,21709,10554,8172,6676,2451,745
81,63,568171,38566,6645,21079,17328,13078,7507,3582
61,57,375768,114379,32827,14107,23530,7948,13170,4378
56,53,387195,98531,23637,11781,13552,13096,6720,2770
57,54,384372,47485,42806,14802,15104,14211,8677,3749
43,51,1329082,222452,66812,17433,18113,12864,21574,2297
67,51,818376,253495,68916,181375,227412,308394,12518,7394
48,29,1028851,81005,21129,13220,4781,5431,3211,841
57,23,1768348,565379,87280,168891,91224,77134,19246,9512
81,8,433119,35305,12620,11855,43003,14176,4007,1609
81,1,782453,111849,8219,26664,5999,13346,7278,3382
97,1,88480,28010,12765,6934,9127,6673,5947,3192
100,10,118435,41247,5765,35909,11555,8795,4864,5471
90,41,490160,31442,27330,45334,5582,11839,3547,1146
87,40,253832,199483,8449,73292,135977,18746,15224,5889
75,34,316700,29024,6970,5034,2723,2836,662,883
69,44,26464,26521,25476,21368,5208,5070,6940,9769
69,44,3208487,87909,170370,108144,57495,44883,13215,2941
60,10,171301,59648,2735,8551,3555,3801,1344,489
60,43,307763,56957,100785,29790,16778,12409,17016,4617
69,67,704105,13744,14305,18524,6537,7025,2309,2117
69,67,177408,16670,2599,17735,7519,5479,3774,895
69,67,521800,41432,7560,8086,3050,4101,572,582
63,48,2046154,198700,56235,13780,10631,17036,23590,23350
74,29,128480,18562,9593,1897,2216,4517,6636,1445
60,23,1338523,104754,92100,72416,68109,16183,20954,3826
81,35,162421,39525,3689,17932,3956,10502,2193,682
97,50,84999,16839,21694,5804,6186,8477,4732,1137
93,48,16541,50411,16556,13594,10918,7835,5388,3638
100,26,271832,17451,7783,2344,12464,12032,11328,6162
94,30,1503285,53852,37516,17678,44470,6102,1909,576
77,4,1934401,325766,44537,102323,153420,36813,24809,18763
77,4,1744599,197265,13659,43806,38676,28192,12546,2858
77,4,2678340,11239,1451,8265,3177,3728,1047,414
77,4,118580,6859,662,1856,297,532,526,478
87,38,59032,13252,3644,36914,27457,8925,6632,9263
91,53,648143,52463,3780,13836,6197,8892,3062,1886
93,40,374003,16184,3041,5960,5286,3431,5463,1042
94,43,675650,24273,5890,7366,6405,16209,11231,2782
78,29,1907490,471859,110602,22459,12481,22978,11144,5297
91,37,15325,23514,12616,17309,14468,27657,3460,3542
84,26,1643507,114215,18129,5629,14083,12080,6617,1006
63,23,1223658,136435,26153,6363,12203,11799,14489,3514
80,21,847045,38396,7606,2972,5407,8467,2999,2414
60,7,564254,206521,13598,21545,33133,19163,5306,6929
54,13,2123789,799123,94432,136034,53025,56540,45654,26086
61,17,891581,24635,3929,6847,2746,4003,2592,769
57,43,872189,28686,48613,40890,5955,16857,3946,6227
63,51,833020,26088,6605,3404,4998,4102,1298,719
70,60,1275983,20674,7972,6751,5474,4041,5850,1323
61,54,152179,22464,1853,4104,1526,1187,1916,864
54,37,112889,47185,12116,6387,1587,6421,7684,3126
54,48,97880,73020,36691,41355,12551,19425,20447,7625
61,53,1994,20227,3317,25752,9687,10073,10703,8759
84,69,48181,9753,17332,7506,4046,14628,11280,7243
83,44,8284,18541,18975,3696,9529,9680,5264,2020
91,54,4805,22340,16930,3451,8929,10100,4078,6291
100,51,20174,4588,6918,1321,2531,7185,5798,1552
100,54,4320,24966,8232,4908,11148,5380,3865,670
100,51,6093,12230,7487,4845,3504,12535,4154,1436
100,63,21060,8964,14979,7585,4581,6145,5477,788
100,47,57376,14716,4365,1154,6403,14789,3187,2186
100,51,114504,12010,5724,5059,5230,6837,3794,1164
91,53,252970,50042,9822,33618,17952,8687,9382,3808
77,41,707352,31656,11956,8043,6792,2559,1060,468
53,50,498342,62574,15983,10240,5538,6546,11097,1189
48,48,142458,69176,10765,26037,5662,17639,6494,2219
47,48,334157,43636,16483,11698,4834,6133,2754,1529
47,44,643095,63245,10964,21739,14466,4522,8768,4785
40,35,1413251,873649,45583,92407,75359,44091,21155,8082
26,30,360010,246355,25514,60833,17951,15192,24953,8812
37,40,14638,14678,14061,13236,5446,8219,20389,4545
51,47,96955,24428,5267,22334,13144,10704,10355,7518
70,60,113098,24038,4118,23288,20740,14401,7572,7140
91,67,219268,24170,20911,15492,18831,18442,12583,3572
84,67,262847,31078,26167,16035,5951,7710,4595,2466
74,77,13802,27039,19292,11904,9377,7059,6531,2018
74,81,14685,10751,11839,6764,3785,9304,22264,4294
80,90,8693,6868,15950,20454,5065,8544,10645,12024
74,90,241180,101662,74089,26428,9625,17101,10061,6165
66,83,424872,389156,165992,73206,67155,36322,12760,5832
40,70,681760,399167,74919,67654,21367,15329,12342,5134
40,70,547379,13452,6325,2974,2558,3425,287,380
34,50,69735,7644,1543,1522,1254,1027,304,75
38,44,1873867,72691,50907,5612,17186,18329,12562,1716
51,51,64537,26877,11221,25736,10717,13918,5462,3465
64,60,22408,22633,23814,1304,6672,4626,1069,1163
64,61,377124,68400,20184,7100,7829,8946,4429,1575
60,69,46305,20919,9693,25916,5882,4857,1211,1050
50,81,10054,27553,35457,44390,2710,7811,4522,2785
53,90,125967,9746,3472,26076,8383,5983,3822,899
83,66,34580,28548,2714,8945,16607,17300,4243,1193
87,61,4798,13615,6996,23047,5967,4164,1941,1261
75,38,456525,84203,12424,5050,14054,4718,4211,903
64,44,54860,18390,16593,9413,21804,5955,3450,1205
51,56,164769,22527,7506,9298,6399,4614,1741,1409
54,51,171290,11492,7051,8197,3540,3641,3758,1698
56,60,14413,89934,22201,10574,8747,6848,6688,3029
57,51,154539,78007,22116,3156,9465,11518,9267,1282
53,48,155691,52819,9566,36005,6977,7936,4242,1559
57,51,175515,33953,776,21136,8904,5445,2760,606
54,35,36832,62602,1233,9108,12364,9980,4590,1290
50,30,16167,55111,8999,4274,1445,4975,4613,2285
57,30,36991,15094,10588,7779,5308,6299,1129,1735
53,11,863970,312843,6280,22655,21624,19824,10262,1884
30,14,854327,286644,12907,36982,5783,5711,7391,5162
38,30,2102639,297758,146575,207601,61225,76482,6565,3287
23,10,1299978,172422,5587,15067,10559,7591,4761,2478
26,24,116014,32816,10000,2736,6676,3584,3181,2023
41,48,285630,93220,82115,69753,26052,19389,4162,798
26,43,294561,112754,19071,54958,15698,4904,4311,2403
29,56,153948,63150,20289,4468,1567,5482,1697,1319
43,61,24605,54421,15613,30758,15725,29022,3773,4388
41,43,142019,357981,69018,26877,20028,29070,4766,2830
51,44,543965,22362,11892,8721,6015,2586,1084,748
53,30,549464,79321,8040,4059,17031,6885,3388,2940
43,37,1685983,53776,39041,16517,7909,12746,6629,2605
48,51,56872,26916,23163,5573,4863,5692,3547,595
44,34,1106472,55532,5010,4283,6857,3214,1542,1224
43,47,504637,203769,40907,32860,22412,42077,9039,10413
40,50,1743559,53002,74735,11863,24148,11388,7888,2742
47,60,1846248,88888,33512,14487,47921,12445,4561,2299
51,64,738971,163406,162574,58536,46572,35267,21722,6835
54,51,582699,796891,203862,88044,49552,108081,28114,2457
54,51,866527,33009,13869,12747,30380,12829,2303,1578
50,43,503890,114033,5984,16504,9823,8702,3830,1211
54,35,228704,52368,7646,16899,26887,15205,9397,2599
53,4,423210,123926,6217,7029,37611,12952,10175,3420
64,10,254627,29678,12867,10221,13913,13370,9868,3063
74,17,76649,20552,1098,10738,15748,4634,5157,694
66,26,29063,35859,18746,4527,6287,6319,2959,1362
56,44,132738,24114,6870,3213,1477,1050,487,273
29,40,953077,283063,84693,19774,23911,19477,17516,5618
29,40,1177019,47727,8102,6550,9881,10037,4257,1442
29,40,192678,189031,5528,9840,12637,10571,2522,222
37,41,236503,34584,27858,14421,17562,18230,3329,3591
38,48,17116,36526,14406,15440,6094,2669,3242,852
40,69,33129,36327,11470,61687,7278,6404,11418,2066
